100, 3.160000
1000, 3.160000
10000, 3.125200
100000, 3.137240
1000000, 3.142024
10000000, 3.141406
100000000, 3.141662
100, 2.960000
1000, 3.100000
10000, 3.117600
100000, 3.140520
1000000, 3.140276
10000000, 3.141828
100000000, 3.141582
100, 3.200000
1000, 3.220000
10000, 3.161600
100000, 3.137000
1000000, 3.138276
10000000, 3.141069
100000000, 3.141594
100, 3.480000
1000, 3.168000
10000, 3.157200
100000, 3.144920
1000000, 3.140160
10000000, 3.142210
100000000, 3.141519
100, 3.080000
1000, 3.164000
10000, 3.134800
100000, 3.146960
1000000, 3.144396
10000000, 3.141776
100000000, 3.141553
100, 3.200000
1000, 3.144000
10000, 3.117600
100000, 3.140840
1000000, 3.144324
10000000, 3.141063
100000000, 3.141566
100, 3.200000
1000, 3.184000
10000, 3.152000
100000, 3.146440
1000000, 3.141468
10000000, 3.142111
100000000, 3.141577
100, 3.120000
1000, 3.096000
10000, 3.112400
100000, 3.140120
1000000, 3.140056
10000000, 3.141404
100000000, 3.141512
100, 3.120000
1000, 3.116000
10000, 3.121600
100000, 3.139080
1000000, 3.141868
10000000, 3.141637
100000000, 3.141694
100, 3.120000
1000, 3.112000
10000, 3.119600
100000, 3.141760
1000000, 3.141904
10000000, 3.142274
100000000, 3.141567
