N, AverageAbsoluteError
2, 1.327398
4, 1.493876
8, 1.406579
16, 1.415297
32, 1.407484
64, 1.426952
128, 1.406397
256, 1.407287
512, 1.414098
1024, 1.411425
2048, 1.410520
4096, 1.414940
8192, 1.413527
16384, 1.414546
32768, 1.414269
65536, 1.413934
131072, 1.413477
262144, 1.413869
524288, 1.413648
1048576, 1.413783
