2    0.345809
4    0.313809
8    0.225479
16    0.177718
32    0.097764
64    0.010706
128    0.024417
256    0.011569
512    0.003003
1024    0.005847
2048    0.001959
4096    0.005188
8192    0.003782
16384    0.003588
32768    0.002968
65536    0.000421
131072    0.001489
262144    0.000024
524288    0.000285
1048576    0.000401
2097152    0.000182
4194304    0.000060
8388608    0.000037
16777216    0.000048
33554432    0.000112
67108864    0.000007
134217728    0.000004
268435456    0.000012
536870912    0.000005
1073741824    0.000004
