2    0.402433
4    0.098111
8    0.040849
16    0.053476
32    0.006393
64    0.009888
128    0.004099
256    0.026746
512    0.026232
1024    0.024009
2048    0.007302
4096    0.006881
8192    0.007771
16384    0.004613
32768    0.002760
65536    0.001457
131072    0.000033
262144    0.000469
524288    0.001143
1048576    0.000840
2097152    0.000382
4194304    0.000310
8388608    0.000235
16777216    0.000058
33554432    0.000010
67108864    0.000043
134217728    0.000004
268435456    0.000006
536870912    0.000005
1073741824    0.000010
