2    0.416617
4    0.360965
8    0.238877
16    0.189093
32    0.107206
64    0.014233
128    0.007585
256    0.002859
512    0.002744
1024    0.011785
2048    0.006096
4096    0.007049
8192    0.001456
16384    0.002820
32768    0.000648
65536    0.001800
131072    0.000935
262144    0.000003
524288    0.000058
1048576    0.000284
2097152    0.000293
4194304    0.000155
8388608    0.000179
16777216    0.000017
33554432    0.000024
67108864    0.000004
134217728    0.000017
268435456    0.000007
536870912    0.000006
1073741824    0.000011
