2    0.270066
4    0.099753
8    0.099216
16    0.079389
32    0.033211
64    0.005095
128    0.004210
256    0.014796
512    0.008927
1024    0.002576
2048    0.014896
4096    0.003101
8192    0.001561
16384    0.001787
32768    0.002735
65536    0.000479
131072    0.000682
262144    0.000430
524288    0.000204
1048576    0.000030
2097152    0.000257
4194304    0.000210
8388608    0.000042
16777216    0.000078
33554432    0.000038
67108864    0.000001
134217728    0.000009
268435456    0.000025
536870912    0.000031
1073741824    0.000016
