2    0.133642
4    0.064495
8    0.016820
16    0.111624
32    0.094663
64    0.015318
128    0.024408
256    0.014421
512    0.001149
1024    0.000511
2048    0.003831
4096    0.000433
8192    0.000994
16384    0.002316
32768    0.001091
65536    0.000073
131072    0.000558
262144    0.000848
524288    0.000774
1048576    0.001150
2097152    0.000652
4194304    0.000354
8388608    0.000279
16777216    0.000269
33554432    0.000145
67108864    0.000064
134217728    0.000013
268435456    0.000001
536870912    0.000001
1073741824    0.000003
