2    0.214909
4    0.031712
8    0.007411
16    0.018660
32    0.029378
64    0.034099
128    0.011256
256    0.016490
512    0.007011
1024    0.011565
2048    0.013793
4096    0.011194
8192    0.010715
16384    0.005665
32768    0.005440
65536    0.003458
131072    0.000838
262144    0.000406
524288    0.000256
1048576    0.000099
2097152    0.000057
4194304    0.000232
8388608    0.000198
16777216    0.000029
33554432    0.000013
67108864    0.000062
134217728    0.000047
268435456    0.000018
536870912    0.000002
1073741824    0.000017
